Fire_Name,County,City,Lat,Lng,Start_Date,End_Date,Agency,Acres,Cause
ISLAND,Los Angeles,Los Angeles,34.0549,-118.2445,5/10/2007,5/15/2007,CDF,4750,UI
WOFFORD,Kern,Bakersfield,35.3739,-119.0195,5/13/2007,5/15/2007,BLM,525,UI
BRAYE,Yolo,Yolo,38.7318,-121.8078,5/18/2007,5/22/2007,CDF,450,UNDET.
GORMAN,Los Angeles,Los Angeles,34.0549,-118.2445,5/19/2007,5/22/2007,CDF,2050,UI
HWY 41,Madera,Madera Acres,37.0191,-120.0669,5/20/2007,5/20/2007,CDF,338,UNDET.
HONEY,Butte,Paradise,39.7596,-121.622,5/22/2007,5/23/2007,CDF,726,MISC.
BOLLI,Shasta,Shasta Lake,40.68,-122.3627,5/22/2007,5/27/2007,USFS,730,UI
HORSE,Tulare,Camp Nelson,36.1427,-118.6093,5/28/2007,5/30/2007,CDF,410,ARSON
SHANNON,Tulare,Camp Nelson,36.1427,-118.6093,6/3/2007,6/4/2007,CDF,2140,EQUIP. USE
GOLDLEDGE,Tulare,Camp Nelson,36.1427,-118.6093,6/3/2007,6/28/2007,USFS,4196,UI
INKOPAH,Imperial,Imperial,32.8476,-115.5695,6/5/2007,6/6/2007,CDF,1500,UNDET.
OAK,Tulare,Camp Nelson,36.1427,-118.6093,6/11/2007,6/17/2007,BIA,500,UI
DYE,Tehama,Red Bluff,40.1785,-122.2359,6/13/2007,6/16/2007,CDF,387,CAMPFIRE
PINE,Lassen,Susanville,40.4163,-120.6531,6/23/2007,6/23/2007,CDF,314,DEBRIS
MOUNTAIN,Kern,Bakersfield,35.3739,-119.0195,6/24/2007,6/25/2007,CDF,761,UI
ANGORA,El Dorado,Diamond Springs,38.6946,-120.815,6/24/2007,7/2/2007,USFS,3100,CAMPFIRE
WHITE,Kern,Bakersfield,35.3739,-119.0195,6/24/2007,7/3/2007,CDF,12454,UI
"CONNER, W",Tehama,Red Bluff,40.1785,-122.2359,6/28/2007,6/28/2007,CDF,446,EQUIP. USE
